spell	freq
¿	0.0000000
-	0.0128752
:	0.0112250
있다.	0.0090962
이	0.0051476
수	0.0048677
~	0.0043309
그	0.0040490
있는	0.0039284
역	0.0037508
및	0.0023880
한다.	0.0023091
되었다.	0.0021414
한	0.0020639
대한	0.0019515
3월	0.0019065
그는	0.0018973
같은	0.0017901
4월	0.0017707
12월	0.0017325
10월	0.0017138
등	0.0016765
이후	0.0016704
다른	0.0016353
중	0.0015588
함께	0.0015584
9월	0.0015431
5월	0.0015283
7월	0.0015263
1월	0.0015229
11월	0.0015127
위해	0.0014967
8월	0.0014814
또한	0.0014620
/	0.0014349
6월	0.0014252
것을	0.0014155
또는	0.0013827
2월	0.0013820
그의	0.0013749
두	0.0013626
1일	0.0013560
그러나	0.0013542
된다.	0.0013420
때	0.0013251
가장	0.0013209
후	0.0012926
때문에	0.0012673
따라	0.0012207
했다.	0.0012142
2010년	0.0012072
대한민국의	0.0011964
있었다.	0.0011785
그리고	0.0011743
일본	0.0011686
더	0.0011666
의해	0.0011582
하는	0.0011532
많은	0.0011404
2011년	0.0011272
것이다.	0.0011093
2012년	0.0011065
2009년	0.0011027
당시	0.0010881
2008년	0.0010788
것으로	0.0010712
다시	0.0010571
미국	0.0010539
통해	0.0010273
첫	0.0010120
2007년	0.0009957
2013년	0.0009878
모든	0.0009801
것이	0.0009671
2014년	0.0009527
하였다.	0.0009502
등의	0.0009470
현재	0.0009436
1	0.0009350
위한	0.0009259
대한민국	0.0008975
큰	0.0008945
모두	0.0008786
여러	0.0008705
2006년	0.0008607
것은	0.0008588
전	0.0008506
할	0.0008350
of	0.0008331
있으며,	0.0007906
2	0.0007796
등을	0.0007659
이러한	0.0007639
)	0.0007559
자신의	0.0007556
...	0.0007454
대해	0.0007381
2005년	0.0007378
약	0.0007028
주	0.0006959
이를	0.0006880
등이	0.0006811
경우	0.0006715
미국의	0.0006691
이는	0.0006618
2004년	0.0006601
MBC	0.0006491
세계	0.0006470
현	0.0006405
,	0.0006243
시	0.0006187
하지만	0.0006173
된	0.0006136
)는	0.0006097
되어	0.0006019
새로운	0.0005999
0	0.0005980
이에	0.0005867
번째	0.0005862
없는	0.0005841
같이	0.0005816
각	0.0005794
하고	0.0005763
2002년	0.0005660
또	0.0005645
인해	0.0005640
2003년	0.0005638
있던	0.0005610
다음과	0.0005609
특히	0.0005510
가지고	0.0005477
주로	0.0005385
매우	0.0005380
축구	0.0005304
)은	0.0005261
동안	0.0005223
뒤	0.0005211
시즌	0.0005073
많이	0.0005054
총	0.0004993
일본의	0.0004971
3	0.0004912
관한	0.0004907
데	0.0004888
없다.	0.0004874
·	0.0004863
받았다.	0.0004749
2000년	0.0004745
KBS	0.0004742
SBS	0.0004735
있으며	0.0004707
2001년	0.0004699
영화	0.0004670
일부	0.0004664
잘	0.0004659
15일	0.0004611
결국	0.0004602
중국	0.0004585
지정	0.0004585
즉	0.0004578
선	0.0004566
않았다.	0.0004520
한국	0.0004441
세	0.0004440
the	0.0004412
리그	0.0004412
해	0.0004382
있어	0.0004324
위치한	0.0004298
제	0.0004289
아들	0.0004263
아니라	0.0004218
경기도	0.0004212
